plant_name,start_datetime,end_datetime,yield_kwh
경주풍력,2024-01-01 00:00:00,2024-01-01 01:00:00,10989.67806640625
경주풍력,2024-01-01 01:00:00,2024-01-01 02:00:00,10704.163505859377
경주풍력,2024-01-01 02:00:00,2024-01-01 03:00:00,9557.386171875
경주풍력,2024-01-01 03:00:00,2024-01-01 04:00:00,8779.594067382812
경주풍력,2024-01-01 04:00:00,2024-01-01 05:00:00,8323.181337890626
경주풍력,2024-01-01 05:00:00,2024-01-01 06:00:00,7939.649936523438
경주풍력,2024-01-01 06:00:00,2024-01-01 07:00:00,7153.31673828125
경주풍력,2024-01-01 07:00:00,2024-01-01 08:00:00,6110.85490234375
경주풍력,2024-01-01 08:00:00,2024-01-01 09:00:00,5414.770014648438
경주풍력,2024-01-01 09:00:00,2024-01-01 10:00:00,4875.192568359375
경주풍력,2024-01-01 10:00:00,2024-01-01 11:00:00,4014.886616210937
경주풍력,2024-01-01 11:00:00,2024-01-01 12:00:00,4318.768125
경주풍력,2024-01-01 12:00:00,2024-01-01 13:00:00,3393.7595898437503
경주풍력,2024-01-01 13:00:00,2024-01-01 14:00:00,3362.013466796875
경주풍력,2024-01-01 14:00:00,2024-01-01 15:00:00,4046.707026367188
경주풍력,2024-01-01 15:00:00,2024-01-01 16:00:00,4635.1637109375
경주풍력,2024-01-01 16:00:00,2024-01-01 17:00:00,5535.270600585937
경주풍력,2024-01-01 17:00:00,2024-01-01 18:00:00,5789.36818359375
경주풍력,2024-01-01 18:00:00,2024-01-01 19:00:00,6742.187250976563
경주풍력,2024-01-01 19:00:00,2024-01-01 20:00:00,8129.997060546875
경주풍력,2024-01-01 20:00:00,2024-01-01 21:00:00,8940.009140625
경주풍력,2024-01-01 21:00:00,2024-01-01 22:00:00,9198.55225097656
경주풍력,2024-01-01 22:00:00,2024-01-01 23:00:00,9772.208012695311
경주풍력,2024-01-01 23:00:00,2024-01-02 00:00:00,13485.002958984374
경주풍력,2024-01-02 00:00:00,2024-01-02 01:00:00,12911.680224609376
경주풍력,2024-01-02 01:00:00,2024-01-02 02:00:00,13041.570463867189
경주풍력,2024-01-02 02:00:00,2024-01-02 03:00:00,15092.775083007811
경주풍력,2024-01-02 03:00:00,2024-01-02 04:00:00,14087.996040039065
경주풍력,2024-01-02 04:00:00,2024-01-02 05:00:00,13754.358588867188
경주풍력,2024-01-02 05:00:00,2024-01-02 06:00:00,13729.64072265625
경주풍력,2024-01-02 06:00:00,2024-01-02 07:00:00,13607.978540039065
경주풍력,2024-01-02 07:00:00,2024-01-02 08:00:00,13970.971826171875
경주풍력,2024-01-02 08:00:00,2024-01-02 09:00:00,13754.26263671875
경주풍력,2024-01-02 09:00:00,2024-01-02 10:00:00,12861.828310546874
경주풍력,2024-01-02 10:00:00,2024-01-02 11:00:00,12257.828129882811
경주풍력,2024-01-02 11:00:00,2024-01-02 12:00:00,13037.905341796875
경주풍력,2024-01-02 12:00:00,2024-01-02 13:00:00,10685.9496875
경주풍력,2024-01-02 13:00:00,2024-01-02 14:00:00,8031.412153320312
경주풍력,2024-01-02 14:00:00,2024-01-02 15:00:00,6909.27255859375
경주풍력,2024-01-02 15:00:00,2024-01-02 16:00:00,9127.25916015625
경주풍력,2024-01-02 16:00:00,2024-01-02 17:00:00,11182.092680664062
경주풍력,2024-01-02 17:00:00,2024-01-02 18:00:00,10808.172641601564
경주풍력,2024-01-02 18:00:00,2024-01-02 19:00:00,11205.688627929689
경주풍력,2024-01-02 19:00:00,2024-01-02 20:00:00,9047.611572265623
경주풍력,2024-01-02 20:00:00,2024-01-02 21:00:00,8258.252612304688
경주풍력,2024-01-02 21:00:00,2024-01-02 22:00:00,9384.824643554688
경주풍력,2024-01-02 22:00:00,2024-01-02 23:00:00,14242.591850585935
경주풍력,2024-01-02 23:00:00,2024-01-03 00:00:00,10870.864370117188
경주풍력,2024-01-03 00:00:00,2024-01-03 01:00:00,13519.969130859376
경주풍력,2024-01-03 01:00:00,2024-01-03 02:00:00,12135.91232421875
경주풍력,2024-01-03 02:00:00,2024-01-03 03:00:00,13970.217504882812
경주풍력,2024-01-03 03:00:00,2024-01-03 04:00:00,14146.943095703124
경주풍력,2024-01-03 04:00:00,2024-01-03 05:00:00,13760.209589843753
경주풍력,2024-01-03 05:00:00,2024-01-03 06:00:00,12890.797216796876
경주풍력,2024-01-03 06:00:00,2024-01-03 07:00:00,12369.229501953125
경주풍력,2024-01-03 07:00:00,2024-01-03 08:00:00,12106.407006835938
경주풍력,2024-01-03 08:00:00,2024-01-03 09:00:00,14392.612880859377
경주풍력,2024-01-03 09:00:00,2024-01-03 10:00:00,12311.895791015624
경주풍력,2024-01-03 10:00:00,2024-01-03 11:00:00,12635.970268554687
경주풍력,2024-01-03 11:00:00,2024-01-03 12:00:00,10537.61091796875
경주풍력,2024-01-03 12:00:00,2024-01-03 13:00:00,11171.108347167969
경주풍력,2024-01-03 13:00:00,2024-01-03 14:00:00,12960.3769140625
경주풍력,2024-01-03 14:00:00,2024-01-03 15:00:00,13881.942963867188
경주풍력,2024-01-03 15:00:00,2024-01-03 16:00:00,14866.98609375
경주풍력,2024-01-03 16:00:00,2024-01-03 17:00:00,14664.96421875
경주풍력,2024-01-03 17:00:00,2024-01-03 18:00:00,16593.2037109375
경주풍력,2024-01-03 18:00:00,2024-01-03 19:00:00,15449.583520507813
경주풍력,2024-01-03 19:00:00,2024-01-03 20:00:00,13136.030302734374
경주풍력,2024-01-03 20:00:00,2024-01-03 21:00:00,11380.569243164062
경주풍력,2024-01-03 21:00:00,2024-01-03 22:00:00,11773.470029296876
경주풍력,2024-01-03 22:00:00,2024-01-03 23:00:00,11818.552114257813
경주풍력,2024-01-03 23:00:00,2024-01-04 00:00:00,12090.860190429688
경주풍력,2024-01-04 00:00:00,2024-01-04 01:00:00,12906.56994140625
경주풍력,2024-01-04 01:00:00,2024-01-04 02:00:00,15454.237495117188
경주풍력,2024-01-04 02:00:00,2024-01-04 03:00:00,13180.349008789062
경주풍력,2024-01-04 03:00:00,2024-01-04 04:00:00,15202.562216796876
경주풍력,2024-01-04 04:00:00,2024-01-04 05:00:00,14347.529013671876
경주풍력,2024-01-04 05:00:00,2024-01-04 06:00:00,13730.51119140625
경주풍력,2024-01-04 06:00:00,2024-01-04 07:00:00,14172.259477539064
경주풍력,2024-01-04 07:00:00,2024-01-04 08:00:00,14224.582626953124
경주풍력,2024-01-04 08:00:00,2024-01-04 09:00:00,12647.062138671874
경주풍력,2024-01-04 09:00:00,2024-01-04 10:00:00,12158.280307617188
경주풍력,2024-01-04 10:00:00,2024-01-04 11:00:00,10586.447309570312
경주풍력,2024-01-04 11:00:00,2024-01-04 12:00:00,8298.871235351562
경주풍력,2024-01-04 12:00:00,2024-01-04 13:00:00,9231.942666015624
경주풍력,2024-01-04 13:00:00,2024-01-04 14:00:00,9612.636416015624
경주풍력,2024-01-04 14:00:00,2024-01-04 15:00:00,9972.413046875
경주풍력,2024-01-04 15:00:00,2024-01-04 16:00:00,10383.552421875
경주풍력,2024-01-04 16:00:00,2024-01-04 17:00:00,11191.017734375
경주풍력,2024-01-04 17:00:00,2024-01-04 18:00:00,9152.910161132811
경주풍력,2024-01-04 18:00:00,2024-01-04 19:00:00,9427.339575195312
경주풍력,2024-01-04 19:00:00,2024-01-04 20:00:00,9924.222080078123
경주풍력,2024-01-04 20:00:00,2024-01-04 21:00:00,9558.77037109375
경주풍력,2024-01-04 21:00:00,2024-01-04 22:00:00,9799.340493164062
