plant_name,start_datetime,end_datetime,yield_kwh
양양풍력,2024-05-01 00:00:00,2024-05-01 01:00:00,3961.3449365234374
양양풍력,2024-05-01 01:00:00,2024-05-01 02:00:00,8028.176049804688
양양풍력,2024-05-01 02:00:00,2024-05-01 03:00:00,15787.866640625001
양양풍력,2024-05-01 03:00:00,2024-05-01 04:00:00,12991.04076171875
양양풍력,2024-05-01 04:00:00,2024-05-01 05:00:00,8481.87908203125
양양풍력,2024-05-01 05:00:00,2024-05-01 06:00:00,1469.8532177734373
양양풍력,2024-05-01 06:00:00,2024-05-01 07:00:00,2642.8356494140626
양양풍력,2024-05-01 07:00:00,2024-05-01 08:00:00,3749.6181396484376
양양풍력,2024-05-01 08:00:00,2024-05-01 09:00:00,2561.5955957031247
양양풍력,2024-05-01 09:00:00,2024-05-01 10:00:00,9603.292744140625
양양풍력,2024-05-01 10:00:00,2024-05-01 11:00:00,17245.367592773437
양양풍력,2024-05-01 11:00:00,2024-05-01 12:00:00,24470.344604492188
양양풍력,2024-05-01 12:00:00,2024-05-01 13:00:00,18630.964013671874
양양풍력,2024-05-01 13:00:00,2024-05-01 14:00:00,21497.304916992187
양양풍력,2024-05-01 14:00:00,2024-05-01 15:00:00,16973.161455078123
양양풍력,2024-05-01 15:00:00,2024-05-01 16:00:00,14292.456230468748
양양풍력,2024-05-01 16:00:00,2024-05-01 17:00:00,8052.058813476562
양양풍력,2024-05-01 17:00:00,2024-05-01 18:00:00,5021.6808251953125
양양풍력,2024-05-01 18:00:00,2024-05-01 19:00:00,2577.1796875
양양풍력,2024-05-01 19:00:00,2024-05-01 20:00:00,3073.9147314453126
양양풍력,2024-05-01 20:00:00,2024-05-01 21:00:00,2206.97806640625
양양풍력,2024-05-01 21:00:00,2024-05-01 22:00:00,1823.386171875
양양풍력,2024-05-01 22:00:00,2024-05-01 23:00:00,4300.676650390625
양양풍력,2024-05-01 23:00:00,2024-05-02 00:00:00,4021.0237939453127
양양풍력,2024-05-02 00:00:00,2024-05-02 01:00:00,8362.439130859375
양양풍력,2024-05-02 01:00:00,2024-05-02 02:00:00,2864.63017578125
양양풍력,2024-05-02 02:00:00,2024-05-02 03:00:00,1828.0059912109375
양양풍력,2024-05-02 03:00:00,2024-05-02 04:00:00,1366.594560546875
양양풍력,2024-05-02 04:00:00,2024-05-02 05:00:00,355.15076171875
양양풍력,2024-05-02 05:00:00,2024-05-02 06:00:00,22.511552734375
양양풍력,2024-05-02 06:00:00,2024-05-02 07:00:00,0.0
양양풍력,2024-05-02 07:00:00,2024-05-02 08:00:00,5133.9048681640625
양양풍력,2024-05-02 08:00:00,2024-05-02 09:00:00,7586.290302734375
양양풍력,2024-05-02 09:00:00,2024-05-02 10:00:00,5141.5183935546875
양양풍력,2024-05-02 10:00:00,2024-05-02 11:00:00,5509.340717773437
양양풍력,2024-05-02 11:00:00,2024-05-02 12:00:00,7523.6265625
양양풍력,2024-05-02 12:00:00,2024-05-02 13:00:00,11251.53443359375
양양풍력,2024-05-02 13:00:00,2024-05-02 14:00:00,8406.610756835937
양양풍력,2024-05-02 14:00:00,2024-05-02 15:00:00,6434.3556640625
양양풍력,2024-05-02 15:00:00,2024-05-02 16:00:00,8532.411391601563
양양풍력,2024-05-02 16:00:00,2024-05-02 17:00:00,6485.693647460937
